M6PR	PLIN3
ADAMTSL4	POFUT2
ADAMTSL4	B3GALTL
CTSK	TLR8
CTSK	UNC93B1
CTSK	TLR3
CTSK	TLR9
CTSK	TLR7
PI4KB	PLCG1
PI4KB	PLCB2
PI4KB	PLCE1
PI4KB	RAB11A
PI4KB	PIK3C3
PI4KB	RAB11FIP3
PI4KB	PIK3R3
PI4KB	PIKFYVE
PI4KB	PIP5K1B
PI4KB	PIK3C2A
PI4KB	PIK3C2G
PI4KB	PLCZ1
PI4KB	PLCB3
PI4KB	PLCD3
PI4KB	PTK2B
PI4KB	PLCB4
PI4KB	PIP5K1C
PI4KB	PLCB1
PI4KB	SYNJ2
PI4KB	PLCG2
PI4KB	PIK3C2B
PI4KB	PIP5K1A
PI4KB	PTEN
PI4KB	PIP5KL1
PI4KB	SACM1L
PI4KB	PLCD4
PI4KB	PIK3R5
PI4KB	SYNJ1
PI4KB	PLCD1
CERS2	SMPD3
CERS2	SPHK2
CERS2	SMPD2
CERS2	GALC
CERS2	PPAP2A
CERS2	DEGS2
CERS2	UGT8
CERS2	SPHK1
CERS2	DEGS1
CERS2	PPAP2C
CERS2	SMPD1
CERS2	SGMS1
CERS2	SLC22A1
CERS2	PPAP2B
CERS2	UGCG
CERS2	KDSR
CERS2	SMPD4
GOLPH3L	SACM1L
KCNH1	KCNQ1
KCNH1	KCNH3
KCNH1	KCNH2
KCNH1	KCNQ4
KCNH1	KCNH4
KCNH1	KCNS2
KCNH1	KCNV1
KCNH1	KCNS3
KCNH1	KCNS1
KCNH1	KCNH5
KCNH1	KCNH8
KCNH1	KCNH7
KCNH1	KCNQ5
KCNH1	KCNQ2
KCNH1	KCNV2
KCNH1	KCNQ3
KCNH1	KCNH6
GON4L	YY1
CREB3L4	CREM
ACP1	FLAD1
ACP1	CTNNB1
ACP1	ENPP3
ACP1	EPHA2
ACP1	ENPP1
ACP1	EFNA1
ACP1	ARHGAP35
ARF1	RALBP1
ARF1	GOSR2
ARF1	GPLD1
ARF1	CLTA
ARF1	GGA3
ARF1	CYTH4
ARF1	COPB1
ARF1	ARFIP2
ARF1	KDELR2
ARF1	ARFGEF1
ARF1	COPE
ARF1	PLD2
ARF1	ARFGAP3
ARF1	KDR
ARF1	PIK3CA
ARF1	OCIAD1
ARF1	GOLPH3
ARF1	PIK3R1
ARF1	ASAP2
ARF1	GRASP
ARF1	CYTH3
ARF1	ARF6
ARF1	ARHGAP1
ARF1	GGA2
ARF1	PABPC1
ARF1	ARFGAP1
ARF1	COPB2
ARF1	PTK2B
ARF1	ARHGAP10
ARF1	ARHGAP6
ARF1	GGA1
ARF1	UBC
ARF1	DNM2
ARF1	RAC1
ARF1	ASAP1
ARF1	HLA-DRB1
ARF1	CYTH1
ARF1	NCF2
ARF1	COPA
ARF1	PIP5K1A
ARF1	GBF1
ARF1	ARFGEF2
ARF1	NCS1
ARF1	HLA-DRB5
ARF1	SH3GL2
ARF1	ARHGAP5
ARF1	BET1L
ARF1	CHN1
ARF1	KDELR3
ARF1	CYTH2
ARF1	ARRB1
ARF1	USO1
ITPKB	PLCG1
ITPKB	PLCB2
ITPKB	PLCE1
ITPKB	PLCZ1
ITPKB	PLCB3
ITPKB	ITPR1
ITPKB	PLCD3
ITPKB	PLCB4
ITPKB	PLCB1
ITPKB	PLCG2
ITPKB	ITPR3
ITPKB	ITPR2
ITPKB	PLCD4
ITPKB	PLCD1
CNIH3	GRIA3
LEFTY1	NODAL
LEFTY1	LEFTY2
LBR	MSMO1
LBR	UBC
LBR	SRPK1
EPHX1	GSTT1
EPHX1	GSTM3
EPHX1	GSTA5
EPHX1	GSTM1
EPHX1	GSTA1
EPHX1	GSTO2
EPHX1	MGST3
EPHX1	GSTO1
EPHX1	GSTM4
EPHX1	GSTA4
EPHX1	GSTP1
EPHX1	GSTA2
REN	SERPINE1
PPFIA4	PTPRF
PDIA6	UBC
ATP6V1C2	INS
ATP6V1C2	ATP6V1E1
ATP6V1C2	TCIRG1
ATP6V1C2	ATP6V1G3
ATP6V1C2	INSR
ATP6V1C2	ATP6V1E2
ATP6V1C2	PPA2
ATP6V1C2	ATP6V1H
ATP6V1C2	TFRC
ATP6V1C2	PPA1
ATP6V1C2	ATP6V1G1
ATP6V1C2	TF
GALM	GCK
GALM	LCT
GALM	HK2
GALM	HK3
GALM	GLB1
GALM	HKDC1
GALM	GALT
GALM	HK1
ABCG8	NR1H2
ABCG8	NR1H3
CALM2	TBL1X
CALM2	FKBP8
CALM2	TUBG1
CALM2	ITPKA
CALM2	TUBGCP3
CALM2	KIF18A
CALM2	CLASP1
CALM2	CUL3
CALM2	IQCG
CALM2	POLB
CALM2	NCOR1
CALM2	IQGAP2
CALM2	EGFR
CALM2	SCN2A
CALM2	CALM3
CALM2	NOS3
CALM2	HDAC3
CALM2	IQCB1
CALM2	CAPN6
CALM2	SKA3
CALM2	CSNK1D
CALM2	KNTC1
CALM2	SCN5A
CALM2	KLHL22
CALM2	SKA2
CALM2	CAMK2D
CALM2	UBC
CALM2	DAPK1
CALM2	KCNQ2
CALM2	MYO1C
CALM2	IQGAP3
CALM2	FGF13
CALM2	KLHL21
CALM2	PARP4
CALM2	CDK1
CALM2	PAFAH1B1
CALM2	TBL1XR1
CALM2	FGF12
CALM2	CLASP2
CALM2	OBSCN
RPS27A	RPS5
RPS27A	TAB1
RPS27A	SRP54
RPS27A	RSPO4
RPS27A	STUB1
RPS27A	TGFB1
RPS27A	SEC61B
RPS27A	TNFAIP3
RPS27A	VPS4B
RPS27A	SEC61A1
RPS27A	SSR1
RPS27A	WNK4
RPS27A	TSG101
RPS27A	VPS25
RPS27A	TRIM21
RPS27A	VPS4A
RPS27A	VHL
RPS27A	USP15
RPS27A	SKIL
RPS27A	USP2
RPS27A	SMAD7
RPS27A	SMAD2
RPS27A	SGK3
RPS27A	TRAM1
RPS27A	TCEB2
RPS27A	ZBTB32
RPS27A	UPF1
RPS27A	SMG6
RPS27A	STAM2
RPS27A	SSR3
RPS27A	WWP1
RPS27A	VPS37B
RPS27A	TP53
RPS27A	SMG9
RPS27A	SKP2
RPS27A	UPF3B
RPS27A	RSPO2
RPS27A	WNT3A
RPS27A	TCEB1
RPS27A	TAB2
RPS27A	TAB3
RPS27A	SSR2
RPS27A	RSRC1
RPS27A	WNK2
RPS27A	SEC61A2
RPS27A	SCNN1G
RPS27A	SMG8
RPS27A	USP8
RPS27A	UBE2E1
RPS27A	TRIM56
RPS27A	TNKS
RPS27A	SRP68
RPS27A	WNK1
RPS27A	TSC22D3
RPS27A	UBE2N
RPS27A	USP9X
RPS27A	VPS37A
RPS27A	YOD1
RPS27A	SRPR
RPS27A	TBK1
RPS27A	RPS27L
RPS27A	TMEM173
RPS27A	SMAD3
RPS27A	TRAF6
RPS27A	RPS7
RPS27A	SGK2
RPS27A	SEC61G
RPS27A	SMAD4
RPS27A	SRP72
RPS27A	USP1
RPS27A	SPRY1
RPS27A	UBC
RPS27A	SCNN1B
RPS27A	RPSA
RPS27A	RPSAP58
RPS27A	XIAP
RPS27A	UPF2
RPS27A	RSPO1
RPS27A	RSPO3
RPS27A	TRIM33
RPS27A	TGFBR2
RPS27A	SCNN1A
RPS27A	SMURF1
RPS27A	SMG5
RPS27A	UCHL5
RPS27A	VTA1
RPS27A	SGK1
RPS27A	SERBP1
RPS27A	UBE2A
RPS27A	TNKS2
RPS27A	RPS4X
RPS27A	TRIM32
RPS27A	TGFBR1
RPS27A	UPF3A
RPS27A	TPP2
RPS27A	SPRY2
RPS27A	UIMC1
RPS27A	VPS36
RPS27A	SCNN1D
RPS27A	RPS6
RPS27A	SH3GL2
RPS27A	SQSTM1
RPS27A	TRAF3
RPS27A	SH3KBP1
RPS27A	USP34
RPS27A	UBE2D2
RPS27A	UBA52
RPS27A	SMG1
RPS27A	SRPRB
RPS27A	SNF8
RPS27A	SMG7
RPS27A	SPCS3
RPS27A	RPS3
RPS27A	ZNRF3
RPS27A	SEC11C
RPS27A	RPS28
MEIS1	STAT5B
MEIS1	MYB
MEIS1	STAT5A
MEIS1	TSHZ2
MEIS1	PBX1
MRPS5	RPS5
MRPS5	POLR2C
MRPS5	RPL19
MRPS5	SEC61A1
MRPS5	MRPS7
MRPS5	RPS16
MRPS5	MRPS9
MRPS5	RPL35
MRPS5	RPL8
MRPS5	RPL26L1
MRPS5	RPL3L
MRPS5	RPL26
MRPS5	NSA2
MRPS5	RPL10L
MRPS5	SEC61A2
MRPS5	RPS14
MRPS5	RPL4
MRPS5	RPS15A
MRPS5	TUFM
MRPS5	RPS27L
MRPS5	RPLP0
MRPS5	RPL7
MRPS5	RPL10
MRPS5	RPL3
MRPS5	RPL27A
MRPS5	RPL7L1
MRPS5	RPSA
MRPS5	RPSAP58
MRPS5	RPL5
MRPS5	POLR1C
MRPS5	ZMPSTE24
MRPS5	RPS4X
MRPS5	RPL10A
MRPS5	MRTO4
MRPS5	RPS6
MRPS5	RPL13A
MRPS5	UBA52
MRPS5	RPL23A
MRPS5	RPS20
MRPS5	RPS3
MRPS5	RPS25
MRPS5	RPL17
MRPS5	RPS15
MRPS5	RPS19
EXOC6B	EXOC7
RTKN	SORBS3
DUSP11	SUPT5H
RALB	RALBP1
RALB	RGL1
RALB	RALGDS
RALB	RGL2
SLC20A1	UBC
CNGA3	GUCA1A
CNGA3	GNAT2
CNGA3	CNGB3
CNGA3	PDE6C
UBXN4	VCP
GPR17	HEBP1
GPR17	P2RY10
GPR17	PROKR2
GPR17	PDYN
GPR17	MLNR
GPR17	GRM6
GPR17	KISS1R
GPR17	OPRD1
GPR17	RGS2
GPR17	KALRN
GPR17	NPY
GPR17	S1PR4
GPR17	TAS2R3
GPR17	TAS2R4
GPR17	TAS2R5
GPR17	MCHR1
GPR17	TAS2R16
GPR17	SSTR4
GPR17	NMUR2
GPR17	HRH4
GPR17	MTNR1B
GPR17	NMBR
GPR17	HTR2B
GPR17	PLCB2
GPR17	PIK3CA
GPR17	POMC
GPR17	KNG1
GPR17	OPRK1
GPR17	SSTR1
GPR17	GPR65
GPR17	PROK1
GPR17	PIK3R1
GPR17	NPFFR1
GPR17	PLCB3
GPR17	MCHR2
GPR17	GRM1
GPR17	SST
GPR17	HTR5A
GPR17	PTGER1
GPR17	SSTR5
GPR17	PROK2
GPR17	RGS20
GPR17	OXGR1
GPR17	PNOC
GPR17	PTAFR
GPR17	MTNR1A
GPR17	TACR3
GPR17	TACR1
GPR17	NTSR2
GPR17	PROKR1
GPR17	P2RY1
GPR17	S1PR1
GPR17	NMUR1
GPR17	GRM5
GPR17	P2RY12
GPR17	LTB4R
GPR17	HTR1E
GPR17	NPFFR2
GPR17	P2RY14
GPR17	GPRC6A
GPR17	P2RY6
GPR17	TRHR
GPR17	P2RY2
GPR17	XCR1
GPR17	HTR1D
GPR17	HTR1A
GPR17	GPR4
GPR17	P2RY13
GPR17	TAC1
GPR17	HTR1F
GPR17	UTS2R
GPR17	PENK
GPR17	OXTR
GPR17	TAS2R60
GPR17	LPAR5
GPR17	S1PR5
GPR17	RXFP3
GPR17	SSTR3
GPR17	NPBWR1
GPR17	NPY2R
GPR17	PTGDR2
GPR17	TAS2R42
GPR17	PLCB4
GPR17	OPRL1
GPR17	PLCB1
GPR17	TRIO
GPR17	NPY5R
GPR17	HRH3
GPR17	GPR18
GPR17	GRM8
GPR17	LPAR6
GPR17	QRFP
GPR17	SAA1
GPR17	PTGER3
GPR17	HCAR1
GPR17	SSTR2
GPR17	GRM7
GPR17	S1PR3
GPR17	LPAR1
GPR17	NPSR1
GPR17	NPY1R
GPR17	GRM3
GPR17	RGS7
GPR17	RGS1
GPR17	XCL1
GPR17	RXFP4
GPR17	RGS10
GPR17	HTR1B
GPR17	NTSR1
GPR17	LPAR3
GPR17	PTGFR
GPR17	HCRTR2
GPR17	OPN4
GPR17	LPAR4
GPR17	TACR2
GPR17	HCRTR1
GPR17	GRM4
GPR17	P2RY4
GPR17	NMS
GPR17	OXER1
GPR17	HTR2A
GPR17	GRPR
GPR17	HCAR2
GPR17	GPR55
GPR17	GRK5
GPR17	QRFPR
GPR17	NMB
GPR17	GRM2
GPR17	HRH1
GPR17	LPAR2
GPR17	TAS2R40
GPR17	RGS14
GPR17	MLN
GPR17	OPRM1
GPR17	RGS4
GPR17	TAS2R39
GPR17	TAS2R43
GPR17	LTB4R2
GPR17	GPR68
GPR17	HCAR3
GPR17	RGS6
TMEFF2	UBC
TMEFF2	UBA3
PTH2R	SCTR
PTH2R	SCT
PTH2R	TAAR1
PTH2R	TSHR
PTH2R	RXFP2
PTH2R	RXFP1
PTH2R	VIPR1
PTH2R	VIP
PTH2R	PTHLH
ABCA12	NR1H2
SUMF1	SUMF2
CXCR7	HEBP1
CXCR7	DRD4
CXCR7	PDYN
CXCR7	GRM6
CXCR7	OPRD1
CXCR7	NPY
CXCR7	S1PR4
CXCR7	TAS2R3
CXCR7	TAS2R4
CXCR7	TAS2R5
CXCR7	MCHR1
CXCR7	GALR3
CXCR7	TAS2R16
CXCR7	SSTR4
CXCR7	NMUR2
CXCR7	HRH4
CXCR7	MTNR1B
CXCR7	POMC
CXCR7	KNG1
CXCR7	OPRK1
CXCR7	GAL
CXCR7	SSTR1
CXCR7	GPR17
CXCR7	MCHR2
CXCR7	SST
CXCR7	HTR5A
CXCR7	SSTR5
CXCR7	RGS20
CXCR7	GPER
CXCR7	OXGR1
CXCR7	GALR1
CXCR7	PNOC
CXCR7	FPR1
CXCR7	MTNR1A
CXCR7	S1PR1
CXCR7	NMUR1
CXCR7	P2RY12
CXCR7	HTR1E
CXCR7	P2RY14
CXCR7	HTR1D
CXCR7	HTR1A
CXCR7	P2RY13
CXCR7	HTR1F
CXCR7	PENK
CXCR7	TAS2R60
CXCR7	LPAR5
CXCR7	S1PR5
CXCR7	RXFP3
CXCR7	GALR2
CXCR7	SSTR3
CXCR7	NPBWR1
CXCR7	NPY2R
CXCR7	PTGDR2
CXCR7	TAS2R42
CXCR7	OPRL1
CXCR7	NPY5R
CXCR7	FPR2
CXCR7	FPR3
CXCR7	HRH3
CXCR7	GNAI1
CXCR7	GPR18
CXCR7	GRM8
CXCR7	SAA1
CXCR7	PTGER3
CXCR7	HCAR1
CXCR7	SSTR2
CXCR7	GRM7
CXCR7	S1PR3
CXCR7	LPAR1
CXCR7	NPY1R
CXCR7	DRD2
CXCR7	GRM3
CXCR7	RGS7
CXCR7	RGS1
CXCR7	RXFP4
CXCR7	RGS10
CXCR7	GNAI3
CXCR7	HTR1B
CXCR7	LPAR3
CXCR7	GRM4
CXCR7	P2RY4
CXCR7	NMS
CXCR7	GNB1
CXCR7	OXER1
CXCR7	HCAR2
CXCR7	GPR55
CXCR7	GRM2
CXCR7	GNAT3
CXCR7	LPAR2
CXCR7	TAS2R40
CXCR7	RGS14
CXCR7	OPRM1
CXCR7	RGS4
CXCR7	TAS2R39
CXCR7	TAS2R43
CXCR7	HCAR3
CXCR7	RGS6
COPS7B	PLCG1
COPS7B	GRB2
COPS7B	GPS1
COPS7B	CUL4A
CTDSP1	SMAD2
CTDSP1	SMAD1
CTDSP1	KLK3
CTDSP1	SMAD3
RQCD1	USP14
RQCD1	TOB1
RQCD1	TNKS1BP1
CCBP2	CCL4
CCBP2	CCL11
CCBP2	CCL7
SLC22A14	XYLB
CTDSPL	SMAD2
CTDSPL	SMAD1
CTDSPL	SMAD3
ARL6IP5	SLC1A1
ARL6IP5	XRCC1
ARL6IP5	UBC
LIMD1	NOS1AP
ATP6V1A	ATP6V1B1
ATP6V1A	INS
ATP6V1A	ATP6V1E1
ATP6V1A	CSE1L
ATP6V1A	TCIRG1
ATP6V1A	ATP6V1C2
ATP6V1A	ATP6V1B2
ATP6V1A	ATP6V1G3
ATP6V1A	UBR1
ATP6V1A	INSR
ATP6V1A	ATP6V1E2
ATP6V1A	PPA2
ATP6V1A	UBC
ATP6V1A	ATP6V1H
ATP6V1A	TFRC
ATP6V1A	PPA1
ATP6V1A	ATP6V1G1
ATP6V1A	ATP6V1C1
ATP6V1A	TF
ATP6V1A	URM1
AGTR1	GNA11
AGTR1	P2RY10
AGTR1	PROKR2
AGTR1	MLNR
AGTR1	KISS1R
AGTR1	RGS2
AGTR1	KALRN
AGTR1	PLCG1
AGTR1	GNRH2
AGTR1	FFAR2
AGTR1	FFAR1
AGTR1	F2RL3
AGTR1	MCHR1
AGTR1	INS
AGTR1	NMUR2
AGTR1	CHRM3
AGTR1	NMBR
AGTR1	HTR2B
AGTR1	PLCB2
AGTR1	GNA15
AGTR1	PIK3CA
AGTR1	KNG1
AGTR1	GPR65
AGTR1	ARRB2
AGTR1	PROK1
AGTR1	GPR17
AGTR1	PIK3R1
AGTR1	GNRH1
AGTR1	NPFFR1
AGTR1	PLCB3
AGTR1	MCHR2
AGTR1	CYSLTR2
AGTR1	GRM1
AGTR1	APP
AGTR1	GNAQ
AGTR1	PTGER1
AGTR1	CCKAR
AGTR1	PROK2
AGTR1	F2RL2
AGTR1	F2RL1
AGTR1	NOS3
AGTR1	ARF6
AGTR1	AVPR1A
AGTR1	PTAFR
AGTR1	TACR3
AGTR1	TACR1
AGTR1	NTSR2
AGTR1	PROKR1
AGTR1	P2RY1
AGTR1	NMUR1
AGTR1	GRM5
AGTR1	CHRM1
AGTR1	LTB4R
AGTR1	BDKRB2
AGTR1	NPFFR2
AGTR1	GPRC6A
AGTR1	P2RY6
AGTR1	TRHR
AGTR1	P2RY2
AGTR1	XCR1
AGTR1	ANGPT2
AGTR1	EDNRA
AGTR1	GPR4
AGTR1	TAC1
AGTR1	F2R
AGTR1	UTS2R
AGTR1	OXTR
AGTR1	LPAR5
AGTR1	FFAR3
AGTR1	GPR132
AGTR1	PLCB4
AGTR1	CCKBR
AGTR1	ARHGEF25
AGTR1	EDN3
AGTR1	PLCB1
AGTR1	TRIO
AGTR1	FPR2
AGTR1	LPAR6
AGTR1	QRFP
AGTR1	SAA1
AGTR1	LPAR1
AGTR1	NPSR1
AGTR1	XCL1
AGTR1	NTSR1
AGTR1	LPAR3
AGTR1	PTGFR
AGTR1	HCRTR2
AGTR1	OPN4
AGTR1	EDN2
AGTR1	LPAR4
AGTR1	CYSLTR1
AGTR1	TACR2
AGTR1	HCRTR1
AGTR1	GNA14
AGTR1	NMS
AGTR1	EDNRB
AGTR1	GNB1
AGTR1	HTR2A
AGTR1	EDN1
AGTR1	GRPR
AGTR1	JAK2
AGTR1	CHRM5
AGTR1	GRK5
AGTR1	QRFPR
AGTR1	NMB
AGTR1	HRH1
AGTR1	GCGR
AGTR1	LPAR2
AGTR1	MLN
AGTR1	ARRB1
AGTR1	CASR
AGTR1	LTB4R2
AGTR1	GPR68
TRPC1	TRPV4
TRPC1	TRPC5
TRPC1	TRPC6
TRPC1	TRPV6
TRPC1	TRPC3
TRPC1	TRPC4
TRPC1	TRPC7
ISY1	PRPF19
ISY1	XAB2
ISY1	PLRG1
AMT	DLD
AMT	ATIC
AMT	FTCD
AMT	TYMS
AMT	SHMT1
AMT	SHMT2
AMT	MTR
AMT	MTHFD1L
AMT	MTHFR
AMT	GLDC
AMT	MTHFD2
AMT	MTHFD2L
AMT	MTHFD1
EAF2	ELL
EIF2B5	EIF5
EIF2B5	EIF2S3
EIF2B5	EIF2S1
EIF2B5	EIF2S2
DGKQ	PNPLA3
DGKQ	EHD4
DGKQ	MOGAT3
DGKQ	PLCG1
DGKQ	PLCB2
DGKQ	EPT1
DGKQ	PLCE1
DGKQ	LIPG
DGKQ	PLD2
DGKQ	PLCZ1
DGKQ	PLCB3
DGKQ	LIPC
DGKQ	MBOAT2
DGKQ	LPL
DGKQ	LCLAT1
DGKQ	PLCD3
DGKQ	EHD1
DGKQ	MBOAT1
DGKQ	PLCB4
DGKQ	PNPLA2
DGKQ	PLCB1
DGKQ	PLD1
DGKQ	PLD3
DGKQ	PLCG2
DGKQ	PNLIP
DGKQ	PNLIPRP3
DGKQ	LIPF
DGKQ	PLCD4
DGKQ	PLCD1
CENPC1	STAG2
CENPC1	CENPT
CENPC1	NUP107
CENPC1	CENPK
CENPC1	NUP85
CENPC1	NUP37
CENPC1	ESPL1
CENPC1	CENPO
CENPC1	NUP133
CENPC1	NDC80
CENPC1	TAOK1
CENPC1	KIF18A
CENPC1	CLASP1
CENPC1	SGOL1
CENPC1	CENPE
CENPC1	MAD1L1
CENPC1	DAXX
CENPC1	KIF2B
CENPC1	NUF2
CENPC1	MLF1IP
CENPC1	RANBP2
CENPC1	MAD2L1
CENPC1	RAD21
CENPC1	WAPAL
CENPC1	PLK1
CENPC1	PDS5A
CENPC1	CLIP1
CENPC1	ZWILCH
CENPC1	SEC13
CENPC1	PDS5B
CENPC1	NUDC
CENPC1	KNTC1
CENPC1	SKA2
CENPC1	ERCC6L
CENPC1	PPP1CC
CENPC1	CENPQ
CENPC1	NUP43
CENPC1	NDE1
CENPC1	CENPL
CENPC1	RANGAP1
CENPC1	SGOL2
CENPC1	SMC3
CENPC1	CENPF
CENPC1	NSL1
CENPC1	ITGB3BP
CENPC1	KIF2C
CENPC1	CENPI
CENPC1	DSN1
CENPC1	ZWINT
CENPC1	RCC2
CENPC1	MAPRE1
CENPC1	NUP160
CENPC1	MIS12
CENPC1	STAG1
CENPC1	CENPN
CENPC1	INCENP
CENPC1	PAFAH1B1
CENPC1	XPO1
CENPC1	KIF2A
CENPC1	CLASP2
CENPC1	CKAP5
EPHA5	NGEF
EPHA5	YES1
EPHA5	LCK
EPHA5	FYN
EPHA5	SRC
EPHA5	EPHA7
EPHA5	FGR
EPHA5	HCK
EPHA5	EPHA6
EPHA5	RHOA
EPHA5	LYN
CORIN	NPPA
KLHL8	PSMA3
KLHL8	PSMA2
KLHL8	TNFAIP1
KLHL8	SPOP
KLHL8	PSMA5
KLHL8	SPOPL
KLHL8	MAD2L1
KLHL8	KLHL9
KLHL8	PSMA1
SPATA5	UFD1L
SPATA5	UBXN7
SPATA5	UBE4B
SPATA5	UBC
SPATA5	SYVN1
CCNA2	CDC6
CCNA2	MYBL2
CCNA2	CDKN1B
CCNA2	HIST1H1A
CCNA2	CCNB1
CCNA2	CDK4
CCNA2	RBL2
CCNA2	CCNE1
CCNA2	E2F3
CCNA2	CDK6
CCNA2	CDK2
CCNA2	RB1
CCNA2	TP53
CCNA2	PLK4
CCNA2	SKP2
CCNA2	PLK2
CCNA2	CCNB3
CCNA2	PLK1
CCNA2	CDC20
CCNA2	FOSL1
CCNA2	SP1
CCNA2	UBC
CCNA2	E2F1
CCNA2	E2F2
CCNA2	JUN
CCNA2	PLK3
CCNA2	RBL1
CCNA2	TFDP1
CCNA2	PCNA
CCNA2	CDK1
CCNA2	CDK3
CCNA2	MDM2
CCNA2	CDK5
CCNA2	TFDP2
SETD7	SIRT1
SETD7	STAT3
SETD7	TP53
SETD7	SUV39H1
NAF1	NHP2
MARCH1	TNFRSF10A
SFRP2	WNT16
SFRP2	WNT3
SFRP2	WNT6
SFRP2	WNT5A
SFRP2	WNT2
SFRP2	WNT9A
SFRP2	WNT3A
SFRP2	WNT7A
SFRP2	WNT4
SFRP2	WNT10B
SFRP2	WNT5B
SFRP2	WNT11
SFRP2	WNT8B
SFRP2	WNT2B
SFRP2	WNT8A
GLRA3	GLRB
MARCH6	SEC61A1
MARCH6	NPLOC4
MARCH6	UBC
MARCH6	VCP
MARCH6	SYVN1
MARCH6	UBE2J2
CDH18	CDH9
CDH18	CDH3
CDH18	CDH6
CDH18	CDH24
CDH18	CDH2
CDH18	CTNNA1
CDH18	CDH7
CDH18	CDH5
CDH18	CDH4
CDH18	CTNND1
CDH18	CDH8
SRD5A1	UGT1A6
SRD5A1	UGT2B7
SRD5A1	UGT1A1
SRD5A1	UGT2B4
SRD5A1	UGT2B17
SRD5A1	UGT1A10
SRD5A1	UGT1A4
SRD5A1	UGT1A5
SRD5A1	UGT1A7
SRD5A1	UGT1A8
SRD5A1	UGT2A1
SRD5A1	UGT1A3
RPL37	RPS5
RPL37	RPL6
RPL37	SRP54
RPL37	SEC61B
RPL37	RPN2
RPL37	SSR1
RPL37	RPS16
RPL37	TRAM1
RPL37	RPL8
RPL37	UPF1
RPL37	SMG6
RPL37	SSR3
RPL37	RPL3L
RPL37	SMG9
RPL37	RPS27A
RPL37	UPF3B
RPL37	SSR2
RPL37	RPN1
RPL37	SMG8
RPL37	RPS14
RPL37	RPL4
RPL37	SRP68
RPL37	RPS15A
RPL37	RPLP2
RPL37	SRPR
RPL37	RPS27L
RPL37	RPLP0
RPL37	RPS7
RPL37	RPL7
RPL37	SEC61G
RPL37	RPS2
RPL37	SRP72
RPL37	RPS21
RPL37	RPSA
RPL37	RPS10
RPL37	UPF2
RPL37	SMG5
RPL37	RPL39
RPL37	RPL5
RPL37	RPL7A
RPL37	RPS4X
RPL37	UPF3A
RPL37	RPS6
RPL37	UBA52
RPL37	SMG1
RPL37	SRPRB
RPL37	SMG7
RPL37	SPCS3
RPL37	RPS20
RPL37	RPS3
RPL37	RPS15
RPL37	SEC11C
RPL37	RPS19
RPL37	RPS28
SKP2	TP53
SKP2	UBE2E1
SKP2	USP47
SKP2	UBC
SKP2	TFDP1
SKP2	UBA52
SKP2	TFDP2
GZMA	NME1
GZMA	IL2
GZMA	MAPK14
GZMA	IL12B
GZMA	IL12RB2
GZMA	TYK2
GZMA	HMGB2
GZMA	IL12A
GZMA	PRF1
GZMA	SET
GZMA	JAK2
GZMA	IL12RB1
PELO	UBC
PIK3R1	TNS1
PIK3R1	VCL
PIK3R1	XBP1
PIK3R1	PROKR2
PIK3R1	RPS6KB1
PIK3R1	PXN
PIK3R1	PLCG1
PIK3R1	RAC2
PIK3R1	RAP1B
PIK3R1	VWF
PIK3R1	TYROBP
PIK3R1	STAT3
PIK3R1	TYK2
PIK3R1	PROK1
PIK3R1	VEGFC
PIK3R1	TIAM1
PIK3R1	PTGER1
PIK3R1	PROK2
PIK3R1	TRAT1
PIK3R1	PTAFR
PIK3R1	TACR3
PIK3R1	TACR1
PIK3R1	PROKR1
PIK3R1	S1PR1
PIK3R1	SDC2
PIK3R1	YWHAZ
PIK3R1	TRHR
PIK3R1	XCR1
PIK3R1	TLN1
PIK3R1	TAC1
PIK3R1	UTS2R
PIK3R1	ZYX
PIK3R1	YES1
PIK3R1	SP1
PIK3R1	PRKCD
PIK3R1	UNC5B
PIK3R1	RHOG
PIK3R1	SMPD1
PIK3R1	PTPN11
PIK3R1	PTK2
PIK3R1	UBC
PIK3R1	QRFP
PIK3R1	RET
PIK3R1	RAC1
PIK3R1	RAP1A
PIK3R1	SAA1
PIK3R1	SRC
PIK3R1	PLCG2
PIK3R1	SGMS1
PIK3R1	XCL1
PIK3R1	PTGFR
PIK3R1	VAV2
PIK3R1	PTEN
PIK3R1	VEGFA
PIK3R1	PLAU
PIK3R1	TREM2
PIK3R1	TACR2
PIK3R1	UGCG
PIK3R1	SYK
PIK3R1	PRKCZ
PIK3R1	TEK
PIK3R1	VLDLR
PIK3R1	QRFPR
PIK3R1	SLC2A14
PIK3R1	SH3KBP1
PIK3R1	RELA
PIK3R1	SOS1
PIK3R1	RELN
PIK3R1	PIK3R5
PIK3R1	RHOA
PIK3R1	SHC1
PIK3R1	PRKCA
PIK3R1	PVRL3
PIK3R1	SHANK3
PIK3R1	VAV1
BHMT	DMGDH
BHMT	MAT2A
BHMT	MAT2B
BHMT	IL4I1
BHMT	CBS
BHMT	TAT
BHMT	CTH
BHMT	MAT1A
BHMT	MTHFR
IQGAP2	RAC2
IQGAP2	RAC1
RASA1	RRAS
RASA1	SPRY3
RASA1	SDC2
RASA1	VEGFB
RASA1	YES1
RASA1	SPSB1
RASA1	SPRY1
RASA1	SPRY4
RASA1	RET
RASA1	SRC
RASA1	SPRY2
RASA1	TEK
RASA1	RHOA
RASA1	SHC1
