M6PR	PLIN3
NDUFAB1	NDUFB6
NDUFAB1	NDUFS1
ITGA3	ITGB4
ITGA3	LAMB1
ITGA3	LAMA5
ITGA3	LAMC1
ITGA3	THBS1
ITGA3	LAMC2
ITGA3	NID1
ITGA3	TYK2
ITGA3	ITGB7
ITGA3	ITGB5
ITGA3	ITGB1
ITGA3	LRP8
ITGA3	LAMB2
ITGA3	LAMA3
ITGA3	PLAUR
ITGA3	LAMB3
ITGA3	PLAU
ITGA3	JAK2
ITGA3	VLDLR
ITGA3	LAMA1
ITGA3	RELN
ITGA3	LAMA2
ITGA3	TGFBI
CRY1	PER2
CRY1	RPS27A
CRY1	PER1
CRY1	CSNK1D
CRY1	CUL1
CRY1	NPAS2
CRY1	UBC
CRY1	PRKAA1
CRY1	FBXL3
CRY1	CSNK1E
CRY1	PER3
CRY1	PRKAA2
CRY1	UBA52
CRY1	CRY2
CRY1	TIMELESS
PGLYRP1	SPG7
CD9	ITGA3
CD9	SELP
CD9	ICAM1
CD9	KIT
CD9	ITGA5
CD9	ITGB1
CD9	IGSF8
CD9	IZUMO1
CD9	MME
CD9	PTGFRN
CD9	ITGA6
RANBP9	USP11
RANBP9	RMND5A
RANBP9	SOS1
RANBP9	WDR26
CD4	SPG21
CD4	CD69
CD4	SELL
CD4	ZAP70
CD4	ITIH4
CD4	CD8A
CD4	TRAT1
CD4	CD8B
CD4	LCK
CD4	CD5
CD4	HLA-DRB1
CD4	PTPRC
CD4	CD40LG
CD4	CXCR3
CD4	SYK
CD4	FOXP3
CD4	GATA3
CD4	IL2RA
PLEKHG6	RHOA
HIVEP2	RFX1
HIVEP2	TCF4
PPP5C	RAF1
NME1	POLR2E
NME1	POLE2
NME1	POLR2C
NME1	POLR2I
NME1	TWISTNB
NME1	POLR3B
NME1	POLR1B
NME1	POLD3
NME1	POLR1A
NME1	POLA2
NME1	TP53
NME1	PRUNE
NME1	TIAM1
NME1	POLR2J
NME1	POLR3K
NME1	POLR2H
NME1	POLR3E
NME1	RRM1
NME1	POLR2G
NME1	POLR3D
NME1	POLR2B
NME1	POLR2A
NME1	RUVBL1
NME1	POLE
NME1	NUDT2
NME1	NPR2
NME1	UBC
NME1	RAC1
NME1	PRIM1
NME1	RRM2
NME1	NTPCR
NME1	NPR1
NME1	POLR3A
NME1	POLR1C
NME1	SET
NME1	POLE3
NME1	POLR3F
NME1	POLR1E
NME1	POLA1
NME1	POLR2J3
NME1	NME2
NME1	POLR3G
NME1	POLD2
NME1	STRAP
NME1	PNPT1
NME1	POLR2F
NME1	POLD1
NME1	POLE4
NME1	RUVBL2
MAP4K5	TRAF2
MAP4K5	TRADD
ERCC1	POLR2E
ERCC1	POLE2
ERCC1	POLR2C
ERCC1	POLR2I
ERCC1	RPA3
ERCC1	MSH2
ERCC1	MSH6
ERCC1	RPA1
ERCC1	MNAT1
ERCC1	ERCC8
ERCC1	MSH3
ERCC1	GTF2H1
ERCC1	FANCM
ERCC1	XPC
ERCC1	ERCC3
ERCC1	POLR2J
ERCC1	SLX4
ERCC1	POLR2H
ERCC1	XRCC6BP1
ERCC1	POLR2G
ERCC1	MUS81
ERCC1	SWSAP1
ERCC1	ERCC4
ERCC1	POLR2B
ERCC1	PRKDC
ERCC1	POLR2A
ERCC1	POLE
ERCC1	XRCC4
ERCC1	ERCC5
ERCC1	ERCC6
ERCC1	LIG4
ERCC1	RAD23B
ERCC1	XAB2
ERCC1	RAD52
ERCC1	XRCC6
ERCC1	RPA2
ERCC1	POLE3
ERCC1	XPA
ERCC1	FANCG
ERCC1	ERCC2
ERCC1	XRCC5
ERCC1	POLR2F
ERCC1	POLD1
ERCC1	POLE4
ERCC1	TCEA1
ERCC1	GTF2H3
GPRC5A	UBC
HEBP1	PDYN
HEBP1	OPRD1
HEBP1	NPY
HEBP1	S1PR4
HEBP1	TAS2R3
HEBP1	TAS2R4
HEBP1	TAS2R5
HEBP1	MCHR1
HEBP1	TAS2R16
HEBP1	SSTR4
HEBP1	NMUR2
HEBP1	HRH4
HEBP1	MTNR1B
HEBP1	POMC
HEBP1	KNG1
HEBP1	OPRK1
HEBP1	SSTR1
HEBP1	MCHR2
HEBP1	SST
HEBP1	HTR5A
HEBP1	SSTR5
HEBP1	RGS20
HEBP1	OXGR1
HEBP1	PNOC
HEBP1	MTNR1A
HEBP1	S1PR1
HEBP1	NMUR1
HEBP1	P2RY12
HEBP1	HTR1E
HEBP1	P2RY14
HEBP1	HTR1D
HEBP1	HTR1A
HEBP1	P2RY13
HEBP1	HTR1F
HEBP1	PENK
HEBP1	TAS2R60
HEBP1	LPAR5
HEBP1	S1PR5
HEBP1	RXFP3
HEBP1	SSTR3
HEBP1	NPBWR1
HEBP1	NPY2R
HEBP1	PTGDR2
HEBP1	TAS2R42
HEBP1	OPRL1
HEBP1	NPY5R
HEBP1	HRH3
HEBP1	SAA1
HEBP1	PTGER3
HEBP1	SSTR2
HEBP1	S1PR3
HEBP1	LPAR1
HEBP1	NPY1R
HEBP1	RGS7
HEBP1	RGS1
HEBP1	RXFP4
HEBP1	RGS10
HEBP1	HTR1B
HEBP1	LPAR3
HEBP1	P2RY4
HEBP1	NMS
HEBP1	OXER1
HEBP1	LPAR2
HEBP1	TAS2R40
HEBP1	RGS14
HEBP1	OPRM1
HEBP1	RGS4
HEBP1	TAS2R39
HEBP1	TAS2R43
HEBP1	RGS6
COX15	SCO2
COX15	SCO1
COX15	MRPL15
COX15	NDUFS8
COX15	CYC1
COX15	SURF1
SCTR	TMEM214
SCTR	TAAR1
SCTR	TSHR
SCTR	VIPR1
SCTR	VIP
SCTR	SNPH
SCTR	SRPRB
RALBP1	SOS2
RALBP1	RHOQ
RALBP1	RRAS
RALBP1	REPS1
RALBP1	RASGRF2
RALBP1	RHOC
RALBP1	TIAM1
RALBP1	RHOJ
RALBP1	RHOT2
RALBP1	TIAM2
RALBP1	RHOBTB1
RALBP1	TRIO
RALBP1	RHOG
RALBP1	RHOT1
RALBP1	RHOU
RALBP1	VAV3
RALBP1	VAV2
RALBP1	RHOH
RALBP1	SOS1
RALBP1	RHOA
RALBP1	RHOBTB2
RALBP1	VAV1
SNAI2	SOX9
SNAI2	TP53
SNAI2	SOX10
SLC7A9	TMEM27
GABRA1	GABRA4
GABRA1	GABRA6
GABRA1	GABRB2
GABRA1	GABRB1
GABRA1	GABRB3
GABRA1	TRAK2
GABRA1	GABRG3
GABRA1	GABRA5
GABRA1	GABRA2
GABRA1	GABRA3
GABRA1	UBQLN1
GABRA1	NSF
GABRA1	GABRG2
GABRA1	GPHN
RB1CC1	SMARCB1
RB1CC1	TP53
RB1CC1	RPTOR
RB1CC1	ULK1
RB1CC1	ULK2
AKAP11	PRKAR2A
AKAP11	PPP1CC
CDH17	CDH9
CDH17	CDH3
CDH17	CDH6
CDH17	CDH24
CDH17	CDH2
CDH17	CDH18
CDH17	CTNNA1
CDH17	CDH7
CDH17	CDH5
CDH17	CTNNB1
CDH17	RAC1
CDH17	SRC
CDH17	CDH4
CDH17	CTNND1
CDH17	CDH8
B4GALT7	XYLT2
B4GALT7	DCN
B4GALT7	NCAN
B4GALT7	XYLT1
B4GALT7	GPC1
B4GALT7	VCAN
B4GALT7	GPC2
B4GALT7	SDC2
B4GALT7	CSPG4
B4GALT7	BCAN
B4GALT7	SDC3
B4GALT7	GPC4
B4GALT7	SDC4
B4GALT7	HSPG2
B4GALT7	GPC6
B4GALT7	GPC5
B4GALT7	CSPG5
B4GALT7	GPC3
B4GALT7	GXYLT1
FAM13B	SOS2
FAM13B	RHOQ
FAM13B	KALRN
FAM13B	RAC2
FAM13B	NGEF
FAM13B	RASGRF2
FAM13B	FGD2
FAM13B	RHOC
FAM13B	TIAM1
FAM13B	RHOJ
FAM13B	RHOT2
FAM13B	TIAM2
FAM13B	FGD3
FAM13B	RHOBTB1
FAM13B	TRIO
FAM13B	RHOG
FAM13B	NET1
FAM13B	RHOT1
FAM13B	RHOU
FAM13B	VAV3
FAM13B	VAV2
FAM13B	FGD1
FAM13B	PLEKHG5
FAM13B	ITSN1
FAM13B	RHOH
FAM13B	SOS1
FAM13B	PLEKHG2
FAM13B	FGD4
FAM13B	RHOA
FAM13B	RHOBTB2
FAM13B	MCF2
FAM13B	MCF2L
FAM13B	OBSCN
FAM13B	VAV1
CHPF2	DCN
CHPF2	NCAN
CHPF2	CHSY1
CHPF2	VCAN
CHPF2	CHSY3
CHPF2	CSGALNACT1
CHPF2	CSPG4
CHPF2	CSGALNACT2
CHPF2	CSPG5
MYOC	PEX5
OTC	SLC25A2
OTC	SLC25A15
MRI1	MTAP
LCP2	NCK2
LCP2	PLCG1
LCP2	VASP
LCP2	TYROBP
LCP2	PRKCQ
LCP2	TXK
LCP2	ZAP70
LCP2	PAK1
LCP2	MS4A2
LCP2	NCK1
LCP2	PAK2
LCP2	SKAP1
LCP2	PTPN11
LCP2	RAC1
LCP2	PLCG2
LCP2	MAP3K7
LCP2	VAV3
LCP2	VAV2
LCP2	TREM2
LCP2	SYK
LCP2	TEC
LCP2	MAP4K1
LCP2	MAP3K1
LCP2	SOS1
LCP2	PTPN6
LCP2	SHC1
LCP2	LYN
LCP2	VAV1
DCN	MMP2
DCN	TGFB1
DCN	TGFB3
DCN	INS
DCN	NCAN
DCN	THBS1
DCN	GPC1
DCN	VCAN
DCN	EGFR
DCN	GPC2
DCN	IGF1
DCN	SDC2
DCN	MMP14
DCN	FOSL1
DCN	MET
DCN	FBN1
DCN	DSE
DCN	ERBB4
DCN	SDC3
DCN	FMOD
DCN	TGFB2
DCN	UST
DCN	DPT
DCN	GPC4
DCN	JUN
DCN	MMP9
DCN	SDC4
DCN	HSPG2
DCN	GPC6
DCN	GPC5
DCN	GPC3
DCN	GXYLT1
TNFRSF17	TRAF5
TNFRSF17	TRAF6
TNFRSF17	TNFSF13
TNFRSF17	TRAF3
GUCA1A	GUCY2F
GUCA1A	GUCY2D
GUCA1A	GUCA1C
GUCA1A	SLC25A22
GUCA1A	SLC25A18
VAMP3	YKT6
VAMP3	VAMP7
VAMP3	VTI1B
RCN1	ZWINT
RCN1	TOM1L2
RFC2	RFC4
RFC2	RFC3
RFC2	RFC5
ARHGEF5	GNGT1
ARHGEF5	GNA12
ARHGEF5	GNAQ
ARHGEF5	RAC1
ARHGEF5	GNB1
ARHGEF5	RHOA
ARHGEF5	GNA13
CLDN11	TJP1
CLDN11	CLDN17
CLDN11	CLDN23
CLDN11	TJP2
RELT	STK39
RELT	TRAF1
PKP2	SCN5A
PKP2	POLR3A
FHL1	SMAD2
FHL1	NRIP1
INPP4A	VAC14
INPP4A	PIK3C3
INPP4A	PIK3R3
INPP4A	PIKFYVE
INPP4A	PIP5K1B
INPP4A	PIK3C2A
INPP4A	PIK3C2G
INPP4A	MTMR14
INPP4A	INPPL1
INPP4A	MTMR4
INPP4A	PIP5K1C
INPP4A	ISYNA1
